Week,covid testing near me: (Memphis TN),covid testing near me: (Atlanta GA),covid testing near me: (Miami-Ft. Lauderdale FL),covid testing near me: (Tampa-St. Petersburg (Sarasota) FL),covid testing near me: (Phoenix AZ),covid testing near me: (Boston MA-Manchester NH),covid testing near me: (Chicago IL),covid testing near me: (Houston TX),covid testing near me: (Dallas-Ft. Worth TX),covid testing near me: (Los Angeles CA),covid testing near me: (Sacramento-Stockton-Modesto CA),covid testing near me: (Baltimore MD),covid testing near me: (Indianapolis IN),covid testing near me: (Denver CO),covid testing near me: (Pittsburgh PA),covid testing near me: (Nashville TN),covid testing near me: (Cleveland-Akron (Canton) OH),covid testing near me: (New York NY),covid testing near me: (Oklahoma),covid testing near me: (Seattle-Tacoma WA),covid testing near me: (Portland OR),covid testing near me: (San Francisco-Oakland-San Jose CA),covid testing near me: (Detroit MI),covid testing near me: (Charlotte NC),covid testing near me: (Louisville KY),covid testing near me: (Albuquerque-Santa Fe NM)
3/15/20,7,4,3,9,3,3,5,7,7,3,7,4,2,5,8,0,4,8,6,9,9,5,2,2,0,10
3/22/20,17,3,3,2,4,1,4,5,6,3,4,4,4,3,1,6,0,8,0,6,5,2,2,0,4,5
3/29/20,10,3,4,2,4,1,6,4,6,2,5,3,6,5,6,10,2,10,11,7,3,3,4,5,0,3
4/5/20,3,6,4,4,3,4,7,5,4,4,5,2,2,2,3,6,2,9,9,11,5,2,3,5,2,2
4/12/20,23,3,7,5,2,1,5,6,4,2,1,4,2,0.5,1,12,1,5,3,3,1,4,6,4,7,2
4/19/20,10,3,3,6,2,2,9,2,5,4,5,4,5,3,0,12,4,8,3,2,0,5,5,2,5,2
4/26/20,10,8,5,6,9,4,6,8,5,6,4,2,5,2,4,22,2,9,5,4,1,6,7,2,9,5
5/3/20,3,8,8,8,7,7,10,9,5,5,3,5,7,5,3,11,3,7,9,3,7,5,9,7,4,18
5/10/20,10,8,7,8,14,8,13,7,14,5,6,5,8,6,6,12,3,9,11,8,3,11,9,6,7,8
5/17/20,24,11,8,10,10,6,13,8,8,5,11,4,7,5,4,9,4,12,4,6,9,10,10,11,6,16
5/24/20,14,11,7,8,11,6,9,10,8,6,3,10,5,4,0,17,2,11,6,5,5,9,5,10,4,15
5/31/20,3,9,8,8,10,5,9,13,8,7,7,6,9,6,1,7,4,7,6,9,9,9,5,11,2,10
6/7/20,10,11,9,12,25,7,7,18,18,7,7,5,7,4,6,18,5,9,15,7,7,9,8,10,0,10
6/14/20,14,13,15,40,39,5,8,41,28,9,9,6,4,3,5,10,3,9,17,6,15,25,22,23,14,32
6/21/20,54,45,54,82,80,10,18,100,65,33,19,12,12,10,14,39,17,18,47,16,21,49,31,30,6,48
6/28/20,52,69,95,79,94,18,26,97,75,50,50,30,21,15,33,59,34,27,62,36,33,53,34,51,43,68
7/5/20,66,100,100,83,69,21,33,87,79,42,51,35,34,20,50,68,30,32,76,30,39,42,32,31,31,37
7/12/20,89,55,63,66,52,21,33,39,43,28,35,30,29,19,34,53,30,25,66,22,38,29,34,21,25,22
7/19/20,33,38,35,34,26,17,22,26,30,16,18,22,29,9,16,28,16,22,28,25,20,21,31,24,21,16
7/26/20,30,38,29,29,17,21,31,19,21,15,9,43,27,14,21,38,25,23,22,22,15,27,37,25,43,5
8/2/20,37,41,30,26,15,30,34,20,28,14,17,31,26,13,24,36,21,22,32,18,13,22,36,16,26,8
8/9/20,29,23,23,22,16,24,22,16,17,12,18,30,33,7,20,34,22,23,10,20,13,20,25,18,18,10
8/16/20,7,22,15,24,13,21,26,13,15,10,14,23,19,6,5,16,12,19,22,15,11,15,16,13,13,5
8/23/20,10,19,10,18,8,16,21,9,13,8,11,17,14,5,6,16,11,15,26,10,10,12,18,23,35,10
8/30/20,24,26,14,24,9,20,24,13,13,11,14,30,24,8,12,23,8,23,27,14,15,23,25,16,16,5
9/6/20,25,19,10,31,14,24,21,14,19,8,6,21,18,12,19,30,9,20,34,21,18,25,12,13,8,5
9/13/20,24,16,18,24,19,18,22,11,25,9,14,21,16,12,12,19,17,24,34,21,15,24,21,31,21,3
9/20/20,24,15,20,33,17,27,26,14,18,11,19,11,24,21,18,35,16,22,25,20,28,28,27,15,36,14
9/27/20,22,25,19,27,21,27,26,19,25,14,18,23,20,18,14,30,21,25,24,19,26,32,33,48,44,25
10/4/20,37,28,32,37,25,38,42,26,28,15,23,26,37,28,20,52,18,36,43,40,32,27,36,53,40,41
10/11/20,53,24,29,36,23,31,49,17,31,12,22,42,35,35,23,46,21,24,18,44,41,30,42,36,34,30
10/18/20,63,28,34,33,26,39,57,26,43,17,34,32,31,42,39,41,23,34,40,37,39,33,61,39,69,36
10/25/20,60,32,38,30,37,46,73,27,31,18,22,30,39,63,26,67,43,38,47,51,35,36,77,34,49,50
11/1/20,30,26,31,52,36,45,79,25,43,16,28,34,52,67,38,58,34,37,61,47,43,44,100,53,83,100
11/8/20,63,45,52,50,48,66,100,41,64,24,36,63,99,100,68,83,97,66,100,68,60,80,96,88,100,77
11/15/20,92,64,65,74,84,100,93,47,69,46,84,100,100,96,100,100,100,100,81,100,100,76,72,75,84,50
11/22/20,96,63,80,54,74,78,64,47,75,58,94,89,72,70,99,93,97,89,99,86,75,80,42,65,61,48
11/29/20,100,58,57,71,78,83,45,37,54,61,88,56,76,45,78,91,67,77,68,61,82,70,42,80,58,48
12/6/20,48,57,59,67,95,71,42,46,64,84,100,62,56,40,68,76,65,63,45,71,65,100,35,93,54,31
12/13/20,68,86,68,77,93,70,39,61,74,100,78,65,60,40,65,78,61,57,74,65,53,96,39,91,55,39
12/20/20,60,89,70,73,86,66,43,76,74,95,82,63,60,33,60,84,52,81,94,66,47,86,36,100,39,29
12/27/20,92,97,70,100,93,76,36,80,100,93,90,58,55,35,52,62,41,83,75,58,70,81,30,71,69,42
1/3/21,62,86,79,72,100,61,33,63,75,75,80,58,45,29,28,66,39,79,80,55,43,62,29,60,48,29
1/10/21,37,72,59,46,85,47,31,46,46,46,38,36,47,29,41,40,42,70,54,46,39,43,23,45,44,24
1/17/21,33,51,51,47,63,26,22,41,41,35,31,31,40,17,28,44,43,53,48,39,22,30,18,44,23,15
1/24/21,40,46,50,42,49,26,27,40,38,22,20,31,17,27,34,32,36,41,64,30,34,41,17,34,21,25
1/31/21,44,31,43,33,36,25,20,29,31,20,27,28,30,21,30,25,19,34,21,38,39,28,16,40,19,22
2/7/21,14,30,36,30,26,22,19,25,25,15,26,14,25,16,21,23,22,35,35,32,26,26,14,20,21,15
2/14/21,15,22,40,32,27,21,16,16,12,12,22,17,17,16,17,12,21,31,13,27,13,32,12,17,19,9
2/21/21,18,21,34,33,28,25,13,26,15,13,21,22,10,17,21,20,15,32,8,32,11,23,18,24,10,9
2/28/21,11,19,40,30,20,31,18,16,17,11,18,18,15,18,24,16,14,30,4,32,23,18,21,17,14,15
3/7/21,8,16,47,44,17,32,21,20,16,12,22,11,8,24,18,34,4,33,8,32,20,17,34,14,11,13